round,days,K,K_take,K_quote,final_pnl
2,"-1,0,1",9.5,3.0,8.5,59360.0
2,"-1,0,1",9.5,3.5,8.5,59258.0
2,"-1,0,1",9.5,4.0,8.5,59258.0
2,"-1,0,1",9.5,4.5,8.5,59155.0
2,"-1,0,1",9.5,5.0,8.5,59155.0
2,"-1,0,1",9.5,5.5,8.5,58992.0
2,"-1,0,1",9.5,6.0,8.5,58992.0
2,"-1,0,1",10.0,2.0,8.5,59207.0
2,"-1,0,1",10.0,2.5,8.5,59207.0
2,"-1,0,1",10.0,3.0,8.5,59207.0
2,"-1,0,1",10.0,3.5,8.5,59117.0
2,"-1,0,1",10.0,4.0,8.5,59117.0
2,"-1,0,1",10.0,4.5,8.5,59073.0
2,"-1,0,1",10.0,5.0,8.5,59073.0
2,"-1,0,1",10.0,5.5,8.5,58963.0
2,"-1,0,1",10.0,6.0,8.5,58963.0
2,"-1,0,1",7.0,2.0,9.0,59471.0
2,"-1,0,1",7.0,2.5,9.0,59471.0
2,"-1,0,1",7.0,3.0,9.0,59471.0
2,"-1,0,1",7.0,3.5,9.0,59213.0
2,"-1,0,1",7.0,4.0,9.0,59213.0
2,"-1,0,1",7.0,4.5,9.0,59211.0
2,"-1,0,1",7.0,5.0,9.0,59211.0
2,"-1,0,1",7.0,5.5,9.0,58987.0
2,"-1,0,1",7.0,6.0,9.0,58987.0
2,"-1,0,1",7.5,2.0,9.0,59633.0
2,"-1,0,1",7.5,2.5,9.0,59633.0
2,"-1,0,1",7.5,3.0,9.0,59633.0
2,"-1,0,1",7.5,3.5,9.0,59338.0
2,"-1,0,1",7.5,4.0,9.0,59338.0
2,"-1,0,1",7.5,4.5,9.0,59321.0
2,"-1,0,1",7.5,5.0,9.0,59321.0
2,"-1,0,1",7.5,5.5,9.0,59113.0
2,"-1,0,1",7.5,6.0,9.0,59113.0
2,"-1,0,1",8.0,2.0,9.0,59640.0
2,"-1,0,1",8.0,2.5,9.0,59640.0
2,"-1,0,1",8.0,3.0,9.0,59640.0
2,"-1,0,1",8.0,3.5,9.0,59371.0
2,"-1,0,1",8.0,4.0,9.0,59371.0
2,"-1,0,1",8.0,4.5,9.0,59337.0
2,"-1,0,1",8.0,5.0,9.0,59337.0
2,"-1,0,1",8.0,5.5,9.0,59119.0
2,"-1,0,1",8.0,6.0,9.0,59119.0
2,"-1,0,1",8.5,2.0,9.0,59601.0
2,"-1,0,1",8.5,2.5,9.0,59601.0
2,"-1,0,1",8.5,3.0,9.0,59601.0
2,"-1,0,1",8.5,3.5,9.0,59346.0
2,"-1,0,1",8.5,4.0,9.0,59346.0
2,"-1,0,1",8.5,4.5,9.0,59284.0
2,"-1,0,1",8.5,5.0,9.0,59284.0
2,"-1,0,1",8.5,5.5,9.0,59064.0
2,"-1,0,1",8.5,6.0,9.0,59064.0
2,"-1,0,1",9.0,2.0,9.0,59490.0
2,"-1,0,1",9.0,2.5,9.0,59490.0
2,"-1,0,1",9.0,3.0,9.0,59490.0
2,"-1,0,1",9.0,3.5,9.0,59349.0
2,"-1,0,1",9.0,4.0,9.0,59349.0
2,"-1,0,1",9.0,4.5,9.0,59247.0
2,"-1,0,1",9.0,5.0,9.0,59247.0
2,"-1,0,1",9.0,5.5,9.0,59052.0
2,"-1,0,1",9.0,6.0,9.0,59052.0
2,"-1,0,1",9.5,2.0,9.0,59360.0
2,"-1,0,1",9.5,2.5,9.0,59360.0
2,"-1,0,1",9.5,3.5,9.0,59258.0
2,"-1,0,1",9.5,3.0,9.0,59360.0
2,"-1,0,1",9.5,4.0,9.0,59258.0
2,"-1,0,1",9.5,4.5,9.0,59155.0
2,"-1,0,1",9.5,5.0,9.0,59155.0
2,"-1,0,1",9.5,5.5,9.0,58992.0
2,"-1,0,1",9.5,6.0,9.0,58992.0
2,"-1,0,1",10.0,2.0,9.0,59207.0
2,"-1,0,1",10.0,2.5,9.0,59207.0
2,"-1,0,1",10.0,3.0,9.0,59207.0
2,"-1,0,1",10.0,3.5,9.0,59117.0
2,"-1,0,1",10.0,4.0,9.0,59117.0
2,"-1,0,1",10.0,4.5,9.0,59073.0
2,"-1,0,1",10.0,5.0,9.0,59073.0
2,"-1,0,1",10.0,5.5,9.0,58963.0
2,"-1,0,1",10.0,6.0,9.0,58963.0
2,"-1,0,1",7.0,2.0,9.5,59471.0
2,"-1,0,1",7.0,2.5,9.5,59471.0
2,"-1,0,1",7.0,3.0,9.5,59471.0
2,"-1,0,1",7.0,3.5,9.5,59213.0
2,"-1,0,1",7.0,4.0,9.5,59213.0
2,"-1,0,1",7.0,4.5,9.5,59211.0
2,"-1,0,1",7.0,5.0,9.5,59211.0
2,"-1,0,1",7.0,5.5,9.5,58987.0
2,"-1,0,1",7.0,6.0,9.5,58987.0
2,"-1,0,1",7.5,2.0,9.5,59633.0
2,"-1,0,1",7.5,2.5,9.5,59633.0
2,"-1,0,1",7.5,3.0,9.5,59633.0
2,"-1,0,1",7.5,3.5,9.5,59338.0
2,"-1,0,1",7.5,4.0,9.5,59338.0
2,"-1,0,1",7.5,4.5,9.5,59321.0
2,"-1,0,1",7.5,5.0,9.5,59321.0
2,"-1,0,1",7.5,5.5,9.5,59113.0
2,"-1,0,1",7.5,6.0,9.5,59113.0
2,"-1,0,1",8.0,2.0,9.5,59640.0
2,"-1,0,1",8.0,2.5,9.5,59640.0
2,"-1,0,1",8.0,3.0,9.5,59640.0
2,"-1,0,1",8.0,3.5,9.5,59371.0
2,"-1,0,1",8.0,4.0,9.5,59371.0
2,"-1,0,1",8.0,4.5,9.5,59337.0
2,"-1,0,1",8.0,5.0,9.5,59337.0
2,"-1,0,1",8.0,5.5,9.5,59119.0
2,"-1,0,1",8.0,6.0,9.5,59119.0
2,"-1,0,1",8.5,2.0,9.5,59601.0
2,"-1,0,1",8.5,2.5,9.5,59601.0
2,"-1,0,1",8.5,3.0,9.5,59601.0
2,"-1,0,1",8.5,3.5,9.5,59346.0
2,"-1,0,1",8.5,4.0,9.5,59346.0
2,"-1,0,1",8.5,4.5,9.5,59284.0
2,"-1,0,1",8.5,5.0,9.5,59284.0
2,"-1,0,1",8.5,5.5,9.5,59064.0
2,"-1,0,1",8.5,6.0,9.5,59064.0
2,"-1,0,1",9.0,2.0,9.5,59490.0
2,"-1,0,1",9.0,2.5,9.5,59490.0
2,"-1,0,1",9.0,3.0,9.5,59490.0
2,"-1,0,1",9.0,3.5,9.5,59349.0
2,"-1,0,1",9.0,4.0,9.5,59349.0
2,"-1,0,1",9.0,4.5,9.5,59247.0
2,"-1,0,1",9.0,5.0,9.5,59247.0
2,"-1,0,1",9.0,5.5,9.5,59052.0
2,"-1,0,1",9.0,6.0,9.5,59052.0
2,"-1,0,1",9.5,2.0,9.5,59360.0
2,"-1,0,1",9.5,2.5,9.5,59360.0
2,"-1,0,1",9.5,3.0,9.5,59360.0
2,"-1,0,1",9.5,3.5,9.5,59258.0
2,"-1,0,1",9.5,4.0,9.5,59258.0
2,"-1,0,1",9.5,4.5,9.5,59155.0
2,"-1,0,1",9.5,5.0,9.5,59155.0
2,"-1,0,1",9.5,5.5,9.5,58992.0
2,"-1,0,1",9.5,6.0,9.5,58992.0
2,"-1,0,1",10.0,2.5,9.5,59207.0
2,"-1,0,1",10.0,2.0,9.5,59207.0
2,"-1,0,1",10.0,3.0,9.5,59207.0
2,"-1,0,1",10.0,3.5,9.5,59117.0
2,"-1,0,1",10.0,4.0,9.5,59117.0
2,"-1,0,1",10.0,4.5,9.5,59073.0
2,"-1,0,1",10.0,5.0,9.5,59073.0
2,"-1,0,1",10.0,5.5,9.5,58963.0
2,"-1,0,1",7.0,2.5,10.0,59471.0
2,"-1,0,1",10.0,6.0,9.5,58963.0
2,"-1,0,1",7.0,2.0,10.0,59471.0
2,"-1,0,1",7.0,3.0,10.0,59471.0
2,"-1,0,1",7.0,3.5,10.0,59213.0
2,"-1,0,1",7.0,4.0,10.0,59213.0
2,"-1,0,1",7.0,4.5,10.0,59211.0
2,"-1,0,1",7.0,5.0,10.0,59211.0
2,"-1,0,1",7.0,5.5,10.0,58987.0
2,"-1,0,1",7.0,6.0,10.0,58987.0
2,"-1,0,1",7.5,2.0,10.0,59633.0
2,"-1,0,1",7.5,2.5,10.0,59633.0
