timestamp,portfolio_pnl,drawdown,PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL
2144100,39599.0,6.0,-3126.0,29095.0,-7620.0,14260.0,6990.0
2144200,39599.0,6.0,-2952.0,29188.0,-7725.0,14338.0,6750.0
2144300,39596.0,9.0,-2838.0,29263.0,-7749.0,14260.0,6660.0
2144400,39596.0,9.0,-2850.0,29254.0,-8001.0,14269.0,6924.0
2144500,39599.0,6.0,-2964.0,29233.0,-7881.0,14275.0,6936.0
2144600,39596.0,9.0,-2922.0,29287.0,-7902.0,14374.0,6759.0
2144700,39599.0,6.0,-2952.0,29320.0,-8022.0,14392.0,6861.0
2144800,39599.0,6.0,-3048.0,29410.0,-7872.0,14398.0,6711.0
2144900,39602.0,3.0,-3036.0,29611.0,-7860.0,14548.0,6339.0
2145000,39602.0,3.0,-2934.0,29473.0,-7869.0,14569.0,6363.0
2145100,39602.0,3.0,-2892.0,29551.0,-7830.0,14608.0,6165.0
2145200,39702.0,0.0,-2848.0,29439.0,-7539.0,14592.0,6058.0
2145300,39702.0,0.0,-3028.0,29424.0,-7484.0,14522.0,6268.0
2145400,39707.0,0.0,-3008.0,29564.0,-7154.0,14597.0,5708.0
2145500,39822.0,0.0,-2967.0,29676.0,-7101.0,14662.0,5552.0
2145600,39822.0,0.0,-2910.0,29571.0,-7137.0,14728.0,5570.0
2145700,39819.0,3.0,-2898.0,29523.0,-7056.0,14662.0,5588.0
2145800,39819.0,3.0,-2886.0,29586.0,-7077.0,14650.0,5546.0
2145900,39819.0,3.0,-3018.0,29592.0,-7065.0,14620.0,5690.0
2146000,39822.0,0.0,-3042.0,29616.0,-7200.0,14548.0,5900.0
2146100,39819.0,3.0,-3018.0,29670.0,-7389.0,14569.0,5987.0
2146200,39819.0,3.0,-3021.0,29631.0,-7389.0,14506.0,6092.0
2146300,39819.0,3.0,-2952.0,29565.0,-7512.0,14428.0,6290.0
2146400,39816.0,6.0,-2970.0,29673.0,-7524.0,14398.0,6239.0
2146500,39931.0,0.0,-3036.0,29551.0,-7378.0,14572.0,6222.0
2146600,39936.0,0.0,-3306.0,29561.0,-7133.0,14452.0,6362.0
2146700,39931.0,5.0,-3376.0,29456.0,-6973.0,14472.0,6352.0
2146800,39936.0,0.0,-3376.0,29401.0,-6848.0,14467.0,6292.0
2146900,39941.0,0.0,-3506.0,29421.0,-6878.0,14212.0,6692.0
2147000,39941.0,0.0,-3436.0,29401.0,-6833.0,14322.0,6487.0
2147100,39931.0,10.0,-3466.0,29546.0,-6593.0,14232.0,6212.0
